,キャッチコピー,ステータス,企業名,初年度年収
150,定着率92％！『河合塾マナビス』の【教室運営】※教室長候補 正社員,正社員,株式会社湘南ゼミナール | 充実の研修プログラム★年3回長期連休あり★10連休取得者多数,397万円～799万円
151,【札幌市営地下鉄職員（地下鉄駅員／窓口係員）】＜正職員＞ 正社員,正社員,一般財団法人札幌市交通事業振興公社,
152,【ブリッジSE・PM】DX案件多数の環境でIT知見と語学力をフル活用 正社員,正社員,株式会社マイナビ | 日本企業の「慢性的なITエンジニア不足」解決のための新事業,400万円～800万円
153,日越を繋ぐ！【ブリッジSE／SE】※ベトナム勤務※語学不問 人材バンク登録,人材バンク登録,HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,
154,創業から黒字経営！自由に成長を楽しむ【SE・PG】★残業月1H以下 正社員,正社員,"リンクラフト株式会社 | 【Lincraft,Inc.】◇Web・ゲーム・アプリ開発◇WEB面接実施中",392万円～840万円
155,電子マネー『nanaco』システム開発等に上流から携わる【社内SE】 正社員,正社員,株式会社セブン・カードサービス | セブン＆アイ・ホールディングス＜東証１部上場＞のグループ企業,450万円～800万円
156,★上流工程を担当★【SE】※高い有給消化率！20代～30代活躍中 正社員,正社員,株式会社Wakka inc. | ◎オフショア開発に強み ◎自社内勤務 ◎リモートワーク実施中,350万円～700万円
157,【ソリューション営業】◎テレワーク導入 ◎フレックス勤務 正社員,正社員,株式会社インターネットイニシアティブ | (IIJ)◎東証一部上場 ◎コロナ禍でも売上高、営業利益ともにUP,500万円～800万円
158,日産の【グローバル購買】 正社員,正社員,日産自動車株式会社 | 東証一部上場/2021年度下半期にてキャリア採用強化中,
159,羽田空港のITインフラを支える【社内SE】★完全週休2日制 正社員,正社員,日本空港ビルデング株式会社 | 東証一部上場／日本の空の玄関口を守る安定企業,400万円～1000万円
160,未経験OK！飲食店の【店舗マネジメント】◆入社祝い金30万円！◆ 正社員,正社員,株式会社スパイスワークス | 【飲食店など40業態を展開】★20～30代活躍中 ★人柄重視の採用,350万円～800万円
161,【WEBデザイナー】景気に左右されない企業で、安心できる転職を 正社員,正社員,株式会社シードソリューションズ | <定着率高め>★年休120日超&土日祝休み★残業少なめ★経験浅めOK,
162,【アプリ系システムエンジニア職(PM/SE/システム企画等)】 正社員,正社員,株式会社 NTTデータ | 専業システムインテグレーターとして”2兆円”を超える売上高,450万円～1000万円
163,事業の創造と変革!【経営コンサルタント】※未経験OK 正社員,正社員,株式会社NTTデータ経営研究所 | 事業変革とイノベーションの専門集団,500万円～1000万円
164,先輩の約9割が未経験！【ITエンジニア】年休125日＆残業ほぼなし 正社員,正社員,株式会社Over REVO | 直近3年の社員定着率90%超/充実の研修制度&資格取得支援制度あり,
165,【Webディレクター】月給34万円～☆年休130日以上☆客先常駐なし 正社員,正社員,株式会社バイタリフィ | 「富士通」「サイバーエージェント」などと直取引◆リモート可,450万円～800万円
166,営業未経験OK！【総合職（営業／エンジニア）】★土日祝休み 正社員,正社員,株式会社フォーサイト | ★男性育休取得実績 ★残業月10～20H ★会社負担で傷病保険加入,320万円～450万円
167,東証二部上場企業の【物流システム企画（社内SE）】※土日休み 正社員,正社員,株式会社ヒガシトゥエンティワン | 【大阪PDセンター】平均残業20ｈ以内／東証二部上場企業で活躍！,450万円～500万円
168,未経験歓迎【測量士】週休2日/手当充実/経験者⇒月給30万以上可 正社員,正社員,東和設計株式会社 | デジタル化対応済み★最新の設備を備え業界の先端を行く企業！,370万円～600万円
169,未経験大歓迎！自社開発システムに携われる【ITエンジニア】 正社員,正社員,株式会社フロントアーク | ★健康経営優良法人認定企業★【大阪府緊急雇用対策に賛同】,300万円～700万円
170,【ITエンジニア】★社内システムの開発・運用とネットワーク強化 正社員,正社員,ベックス株式会社 | 年収UP／キャリアUP／残業時間DOWN／面白い仕事／心通う仲間,400万円～800万円
171,京王百貨店の基盤を担う【社内SE】*前給考慮*賞与3回*100%自社内 正社員,正社員,株式会社京王百貨店 | 【京王電鉄株式会社100％出資】★完全週休2日★福利厚生が充実,360万円～600万円
172,"経験不問/組込み・制御系の【制御ソフト開発】平均年収1,075万円 正社員",正社員,株式会社ディスコ | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,
173,老舗商社の事業成長を支える【社内SE】★経験の浅い方も大歓迎 正社員,正社員,株式会社富澤商店 | 製菓・製パン材料や調理器具などを扱う専門商社,400万円～650万円
174,経験ゼロから始める【システムエンジニア】★100%自社内勤務 正社員,正社員,株式会社ダイブ | ◇完全週休2日制(土日) ◇年間休日120日 ◇残業1日平均1h以内,300万円～400万円
175,日本を代表する自動車メーカーが取引先！【ソリューション営業】 正社員,正社員,アジャイル株式会社 | ◎土日祝休み◎年休125日以上◎月給30万円～◎テレワーク実施中,360万円～960万円
176,"【学習塾教室長】独立を目指し、教室長として""経営""を学べる！ 契約社員",契約社員,株式会社京進 | 東証二部上場,
177,新事業・サービス創造に関わる【SE（アプリ開発）】※土日祝休み 正社員,正社員,株式会社ナカガワ | <今年で創業100年>最大月給30万円以上／残業少なめ／転勤なし,
178,社内システム・Webアプリ開発・インフラの管理等【IT系総合職】 正社員,正社員,株式会社ディスコ | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,
179,ベトナム語を活かして活躍！日本とベトナムを繋ぐ【BrSE】 人材バンク登録,人材バンク登録,HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,
180,世界シェアトップクラスの製品あり◆年間休日126日【電気設計】 正社員,正社員,株式会社ディスコ | 東証一部上場◆「働きがいのある会社ランキング」に13年連続選出,
181,”IT × 医療”で社会に貢献【ITエンジニア】自社内開発メイン！ 正社員,正社員,株式会社システムビィー・アルファ | 東証一部上場『メディカル・データ・ビジョン(株)』グループ企業,350万円～800万円
182,東証一部上場日系大手IT企業での【BrSE／PM】※ベトナム勤務 人材バンク登録,人材バンク登録,HRNAVI JOINT STOCK COMPANY | ベトナムでの転職に特化した人材紹介会社です！,
183,"公共,法人,金融系の【PL/PM】※リモートワーク・フレックス導入 正社員",正社員,株式会社NTTデータ関西 | 【関西トップクラスのSIer】※年間休日122日 ※残業平均月21.3h,400万円～600万円
184,【ITエンジニア】★残業月10h以内/年休121日/月給30万円以上 正社員,正社員,株式会社スロウアイランズ | ★評価賞与(年4回)あり★完全週休2日(土日祝)★有給1H～取得可,400万円～600万円
185,＜レア求人＞防衛系システム開発を行う事業部の【社内SE】 正社員,正社員,株式会社日立製作所 | ディフェンスシステム事業部,600万円～900万円
186,【ITエンジニア】◆30代～50代活躍中 ◆月給35万円～(前給考慮) 正社員,正社員,日本獅龍株式会社 | ★リモートワーク率8割 ★WEB面接可能 ★時差出勤OK ★完休2日,450万円～700万円
187,【ITコンサルタント】※未経験者歓迎！エンジニア出身者活躍中！ 正社員,正社員,株式会社ベイカレント・コンサルティング | 東証一部上場,500万円～1000万円
188,【テクニカルスペシャリスト】（システム監査） 正社員,正社員,PwCビジネスアシュアランス合同会社,350万円～500万円
189,未経験から始めやすい【インフラエンジニア】※月給24万円以上 正社員,正社員,精晃電設株式会社 | 【自分の裁量で働きやすい会社】※WEB面接も可能！,
190,【サービス・プラットフォーム開発エンジニア】※第二新卒も歓迎 正社員,正社員,ヤフー株式会社 | 日本最大級のユーザー数を誇る「Yahoo! JAPAN」,400万円～800万円
191,20～30代活躍中！自社パッケージソフトの【ソリューション営業】 正社員,正社員,株式会社日立社会情報サービス | 日立グループSI事業の中核企業・年間休日126日・離職率2％,400万円～600万円
192,グローバルファームで経験を積む【システム監査】※業種未経験OK 正社員,正社員,EYストラテジー・アンド・コンサルティング株式会社 | 世界150カ国以上で事業を展開するEYグループ,500万円～750万円
193,グループの企業力や強みを活かす！IT製品の【提案営業】 正社員,正社員,ちばぎんコンピューターサービス株式会社 | 東証一部上場・千葉銀行のグループ企業/残業月20h/年休125日,407万円～616万円
194,上流工程から運用保守まで【ITエンジニア（アプリ/インフラ）】 正社員,正社員,株式会社日立社会情報サービス | 日立グループSI事業の中核企業・年間休日125日・離職率2％,400万円～600万円
195,◆研修充実＆チーム参画◆還元率75％◆前給保証【ITエンジニア】 正社員,正社員,株式会社グッドワークス | ☆案件選択可☆複数の自社サービス有☆年収100万以上UP入社多数,450万円～900万円
196,【SE・PG】◎土日祝休み ◎年間休日121日 ◎福利厚生充実 正社員,正社員,株式会社電盛社 | ＜協和エクシオグループ＞ 創業以来100年以上無借金経営を継続！,350万円～450万円
197,【データ分析コンサルタント】※業界未経験歓迎 正社員,正社員,有限責任監査法人トーマツ,
198,【Web系総合職（コーダー／運用）】未経験者もOK★20代活躍中 正社員,正社員,メディカルデザイン株式会社 | ★年間休日125日★15年連続売上アップ＆利益を社員に還元！,400万円～800万円
199,将来のリーダー候補募集！【総合職(情報システム・品質保証)】 正社員,正社員,昭和鉄工株式会社 | 創業138年・業界トップクラスメーカー！★社員定着率が高い♪,400万円～600万円
200,加工のマシニングアーティストを目指す【製造スタッフ】未経験OK 正社員,正社員,有限会社伸光製作所 | 「京セラ」と直接取引！　月収例：27歳2年目　28万円（手当含）,
201,【SE】基幹システム／生産管理システムなど 正社員,正社員,住友重機械工業株式会社 | ＜東証1部上場＞,450万円～750万円
202,【社内SE】※完全週休2日制（土日祝休）/残業月20～30ｈ 正社員,正社員,株式会社ジェーシービー | 誰もが知る日本発の国際カードブランド,500万円～900万円
203,複数名採用！日系大手ITグループ企業での【ブリッジエンジニア】 正社員,正社員,Fujitsu Systems Global Solutions Management Sdn Bhd,
204,【学習塾経営】転職して社員に？いや、次のキャリアは独立だ！ FCオーナー,FCオーナー,株式会社京進 | 東証二部上場,
205,一部上場メーカーでの【技術系総合職】★年休124日★賞与5.6ヶ月 正社員,正社員,理研計器株式会社 | ◆東証一部上場 ◆シェアトップクラスのリーディングカンパニー,400万円～750万円
206,世の中の“当たり前”をつくる【SE(プロジェクトマネージャー)】 正社員,正社員,株式会社セブン銀行 | 東証一部上場★「セブン＆アイグループ」の新しい業態の銀行,500万円～850万円
207,100%自社内開発！客先常駐一切なし【Webエンジニア】★年休120日 正社員,正社員,株式会社USTソリューション | リモートワーク6割導入／土日祝休み／大阪府緊急雇用対策に賛同,
208,【システムエンジニア】ITコンサル、PM、先端技術(AI、IoT等) 正社員,正社員,富士通株式会社,
209,【ECディレクター(企画・制作・集客など)】◆前給考慮×随時昇給 正社員,正社員,ベイクロスマーケティング株式会社 | 過去最高業績を更新中◆20～30代活躍中◆完全週休2日制(土日祝),380万円～700万円
210,【総合職（社内SE/インフラ構築・管理）】土日祝の年休124日！ 正社員,正社員,奥村組土木興業株式会社 | 創業101年☆独身寮有（U/Iターン歓迎）大阪府緊急雇用対策に賛同,350万円～450万円
211,【ITエンジニア】（開発・インフラ・組込）／実務未経験可 正社員,正社員,株式会社サンウェル | 【設立26年】安定性◎／残業月平均19H／年間休日123日,350万円～600万円
212,研修充実★手に職つける【ITサポート事務】98%未経験入社！ 正社員,正社員,ランスタッド株式会社 | 完全週休2日制/年間休日121日以上/残業月10時間/平均年齢27.3歳,
213,【社内SE】＊若手活躍中＊年休120日以上＊賞与前年度約5ヶ月分 正社員,正社員,株式会社ワタナベ流通 | ＊コロナ禍でも業績好調の安定成長企業＊残業月平均20時間程度,
214,《成長確約》充実研修で完全未経験から【ITエンジニア】へ！ 正社員,正社員,ランスタッド株式会社 | 完全週休2日制/年間休日121日以上/残業月10時間/平均年齢27.3歳,
215,【SE・PG】希望が叶う理想のエンジニア像へ★年収1000万円も可★ 正社員,正社員,株式会社relation | 【大阪府緊急雇用対策に賛同】#自社内開発 #定着率95％以上,390万円～1440万円
216,マネジメント「嫌」OKです【SE/PG】年間休日125日・残業ほぼなし 正社員,正社員,株式会社アクティブフュージョンズ | 前給保証！自社内開発・受託増加中★リモート／残業月10h以下,400万円～650万円
217,＜残業ほぼなし！＞業績好調の利益はすべて社員へ！【SE・PG】 正社員,正社員,クリエイトソリューションズ株式会社 | 《7期連続増収増益！》★リモートワーク実施中！,250万円～600万円
218,活躍の場は”日本福祉大学内”！ICTで未来を切り拓く【校内SE】 正社員,正社員,株式会社エヌ・エフ・ユー | ★日本福祉大学100%出資 ★無理な納期、客先常駐は一切なし,350万円～500万円
219,絵画(日本画・油絵・版画)などを扱う美術商の【WEBエンジニア】 正社員,正社員,株式会社シバヤマ | ＜70年超の歴史＞ ★自社内開発100％ ★自由度の高さにも注目,350万円～700万円
220,クライアントとの直接取引100%!【Webデザイナー】★土日祝休み 正社員,正社員,株式会社オールフォーエスピー | 大手ICT企業出身者達により設立★産休育休実績有★年休124日以上,380万円～550万円
221,未経験からスタート！【ITエンジニア】★前給保証★年休125日 正社員,正社員,ACJ株式会社 | ★完全土日祝休み ★残業月15~20h ★有給休暇取得100%の社員も,350万円～650万円
222,未経験から始める【ITエンジニア(開発/インフラ)】★手厚い研修 正社員,正社員,"株式会社作作 | ★""休むべきときは休む""を徹底 ★土日祝休 ★年休120日 ★残業少",
223,【ITエンジニア】案件単価全公開／還元率75~83%／フルリモート！ 正社員,正社員,LIJ株式会社 | 全員面接◎Python/Kotlin/Go/Swift等／残業月15h以内,420万円～720万円
224,20代活躍中！【ITエンジニア】★基本定時退社/転勤なし 正社員,正社員,株式会社ジェイテック | 有給消化率100％推奨/テレワーク導入(在宅勤務手当有)/WEB面接OK,
225,★ストレスフリー宣言★【ITエンジニア】をもっと自由に楽しむ。 正社員,正社員,有限会社デジタルパイプライン | エンジニア想い徹底！余計な負担削減/残業月平均20h/土日祝休,
226,【ITエンジニア】★年間休日123日★残業月平均10時間以下 正社員,正社員,株式会社SCAシステム | 経験次第で月給60万円スタートも可能！エンジニアの個性を尊重！,360万円～800万円
227,普通免許があればOK!とことん地域密着型の【タクシー乗務員】 正社員,正社員,池田タクシー株式会社 | 大阪府緊急雇用対策に賛同／“待ち”の姿勢でも稼げる,350万円～450万円
228,上流工程～開発メインで活躍！【社内SE】★経験浅めや未経験歓迎 正社員,正社員,株式会社J-POWERビジネスサービス | ★東証一部上場・J-POWERグループ ★働きやすい環境で高定着率,390万円～570万円
229,もっと楽しく、もっと納得して働ける【SE・PG】転勤なし 正社員,正社員,株式会社ZELXUS | 令和設立企業 ■完全週休2日制/年間休日123日 ■賞与年4.5ヶ月分,
230,キャリア採用！【IoTエンジニア】※前職給与を最大限考慮します 正社員,正社員,備後漬物株式会社 | 『和風キムチ』『吉野家キムチ』などでお馴染みの食品メーカー,375万円～495万円
231,【ITエンジニア】＊定着率90％ ＊土日祝休み ＊支援も手厚い 正社員,正社員,株式会社データワンテクノロジー | 【業績好調】★10月に「浅草橋駅」スグの新オフィスに移転,300万円～1000万円
232,SESからのキャリアチェンジ歓迎【プロダクトSE】※賞与実績4ヶ月 正社員,正社員,ESRIジャパン株式会社 | 米国『Esri』社製品の総販売代理店,450万円～650万円
233,【ITエンジニア】★前給保証あり★経験者は36万円以上スタート！ 正社員,正社員,インフラデザイン株式会社 | ◆大手不動産企業など安定取引◆前払い退職金制度有り,400万円～800万円
234,ITの知識・経験ゼロから目指せる【初級エンジニア】 正社員,正社員,株式会社マキバレ | 創業5年目のフレッシュな企業／残業も月平均14.5時間と少なめ,
235,未経験歓迎！マンション等の【物件管理スタッフ】専門知識を習得 正社員,正社員,株式会社北原不動産 | ★週休2日制＆残業少なめ／『国家資格』の取得を会社でサポート,300万円～450万円
236,京王電鉄グループ内で活躍する【社内SE】★残業月平均20時間程度 正社員,正社員,株式会社京王ＩＴソリューションズ | ★土日祝休み ★年間休日120日 ★京王グループの福利厚生も,388万円～476万円
237,POS業界シェアNo.1！店舗システムの【営業】★20代～30代活躍中 正社員,正社員,東芝テック株式会社 | ★TOSHIBA(東芝)グループ★東証一部上場★賞与4.8カ月(昨年実績),500万円～650万円
238,パルシステムグループを支える【社内SE（インフラ担当）】 正社員,正社員,パルシステム生活協同組合連合会 | ★WEB面接実施中★ジョブローテなど多彩なキャリア形成が可能！,380万円～500万円
239,【システム開発者】日系IT企業 人材バンク登録,人材バンク登録,"REERACOEN VIETNAM CO.,LTD",
240,＼楽しく&自分らしく働ける♪／【SE】★残業月5h程度 ★札幌勤務 正社員,正社員,株式会社Olivier | 【在宅＆時差勤務あり／年間休日129日(土日)／大通駅直結】,300万円～840万円
241,ゲーム業界へのキャリアチェンジも可能！【IT系プログラマー】 正社員,正社員,株式会社エクストリーム | ゲーム会社などエンターテイメント系企業多数！,300万円～550万円
242,街づくりに貢献！【測量スタッフ】◆完全週休2日◆年休120日以上 正社員,正社員,有限会社江崎測量設計社 | ◆ほとんどの先輩が未経験スタート！◆国家資格の取得支援あり,300万円～500万円
243,海外への事業展開をITで支える【社内SE】 ◆英語力を活かせます 正社員,正社員,日立チャネルソリューションズ株式会社 | インド・中国・ASEAN等への海外展開を加速中！,500万円～800万円
244,【ITエンジニア(SE・サーバー)】中途入社の先輩が多く活躍中！ 正社員,正社員,株式会社アスタース | 自社内案件100%／UIターン歓迎←遠方の方はWEB面接OK,350万円～600万円
245,コスメ・美容雑貨メーカーの【企画・提案営業】☆基本定時退社 正社員,正社員,素数株式会社 | TV・SNSで話題のヒット商品多数★土日祝休み＆年休120日以上,340万円～500万円
246,製造業分野のシステムエンジニア（中部地区担当） 正社員,正社員,株式会社日立ソリューションズ | ともにつくる未来を、つよく。,
247,【技術系総合職】年間休日127日《12/11にオンライン選考会実施》 正社員,正社員,パナソニック株式会社 | 東証一部上場企業◆創業100周年超◆福利厚生も充実◆土日祝休み,
248,NTTグループで活躍【土木技術者】※関連資格必須・東海限定募集 正社員,正社員,エヌ・ティ・ティ・インフラネット株式会社 | 土日祝休み／年間休日140日／有給100％取得／残業月平均16時間,300万円～550万円
249,WEBで自社製品の魅力を発信する【マーケティングスタッフ】 正社員,正社員,アラクサラネットワークス株式会社,
